"subject","CHILDCARE_ARRANGEMENT","homebased_daycare_yn","licensed_provider_yn"
"26-3813375","Care by a relative","No","Yes"
"26-2512532","Care in someone’s home by a non-relative","No","No"
"26-1368423","Care in someone’s home by a non-relative","Yes","No"
"26-2497478","Care by a relative","No","Yes"
"26-2496757","Care in someone’s home by a non-relative","Yes","No"
"26-2517372","Care by a relative","No","No"
"26-2538856","Care by a relative","No","No"
"26-1392311","Care by a relative","No","Yes"
"26-1368153","Daycare (centre-based or home-based)","Yes","Yes"
"26-1865005","Care by a relative","Yes","No"
"26-1354921","Care in child’s home by a non-relative","No","Yes"
"26-3467111","Care by a relative","Yes","Yes"
"26-2499010","Care in someone’s home by a non-relative","Yes","Yes"
"26-3817862","Care in someone’s home by a non-relative","Yes","No"
"26-1396630","Care in someone’s home by a non-relative","Yes","No"
"26-1378554","Care by a relative","Yes","No"
"26-2533563","Daycare (centre-based or home-based)","Yes","No"
"26-1351758","Daycare (centre-based or home-based)","No","Yes"
"26-1369236","Care in child’s home by a non-relative","Yes","No"
"26-1391476","Daycare (centre-based or home-based)","No","No"
"26-1409176","Care in child’s home by a non-relative","No","No"
"26-3823152","Care in someone’s home by a non-relative","Yes","No"
"26-2529597","Daycare (centre-based or home-based)","Yes","Yes"
"26-1373544","Care in child’s home by a non-relative","No","Yes"
"26-1367285","Daycare (centre-based or home-based)","No","Yes"
"26-2533572","Care by a relative","Yes","No"
"26-3464527","Daycare (centre-based or home-based)","Yes","No"
"26-1863583","Care by a relative","Yes","Yes"
"26-3509745","Care by a relative","No","No"
"26-3829863","Daycare (centre-based or home-based)","No","No"
"26-1395273","Care in child’s home by a non-relative","No","Yes"
"26-1395382","Care in child’s home by a non-relative","No","No"
"26-1349452","Care in someone’s home by a non-relative","No","Yes"
"26-1366455","Care by a relative","Yes","Yes"
"26-3827285","Daycare (centre-based or home-based)","Yes","No"
"26-1384186","Care in child’s home by a non-relative","Yes","Yes"
"26-1866008","Care in child’s home by a non-relative","No","Yes"
"26-3819731","Care in someone’s home by a non-relative","No","No"
"26-1378182","Daycare (centre-based or home-based)","Yes","No"
"26-1866415","Care by a relative","Yes","No"
"26-1353814","Care in someone’s home by a non-relative","No","No"
"26-2523569","Care in child’s home by a non-relative","Yes","Yes"
"26-1344023","Daycare (centre-based or home-based)","No","Yes"
"26-1406521","Care in someone’s home by a non-relative","Yes","No"
"26-1367473","Care by a relative","Yes","No"
"26-1346877","Care by a relative","No","Yes"
"26-2525986","Daycare (centre-based or home-based)","Yes","Yes"
"26-2527016","Care in someone’s home by a non-relative","Yes","Yes"
"26-2536712","Daycare (centre-based or home-based)","Yes","No"
"26-2986372","Care in child’s home by a non-relative","No","Yes"
"26-1378024","Daycare (centre-based or home-based)","Yes","Yes"
"26-3815539","Care in child’s home by a non-relative","No","Yes"
"26-3814428","Care in child’s home by a non-relative","No","Yes"
"26-2528496","Care in child’s home by a non-relative","No","No"
"26-2518615","Care in someone’s home by a non-relative","Yes","No"
"26-1355573","Care by a relative","No","No"
"26-1867719","Care in someone’s home by a non-relative","No","No"
"26-2491542","Care in child’s home by a non-relative","Yes","No"
"26-1349450","Care in someone’s home by a non-relative","Yes","Yes"
"26-2531419","Care in someone’s home by a non-relative","Yes","Yes"
"26-2528488","Care by a relative","Yes","No"
"26-1393080","Daycare (centre-based or home-based)","Yes","No"
"26-1353579","Daycare (centre-based or home-based)","Yes","Yes"
"26-2531687","Care in child’s home by a non-relative","No","Yes"
"26-2989358","Care in child’s home by a non-relative","Yes","No"
"26-1349441","Care by a relative","No","No"
"26-1348541","Care in someone’s home by a non-relative","No","Yes"
"26-1398030","Daycare (centre-based or home-based)","No","No"
"26-3463921","Care in child’s home by a non-relative","No","No"
"26-1378730","Care in child’s home by a non-relative","Yes","No"
"26-1381580","Care in child’s home by a non-relative","No","No"
"26-1405390","Care by a relative","Yes","Yes"
"26-1409947","Care in someone’s home by a non-relative","Yes","Yes"
"26-1397371","Care in child’s home by a non-relative","Yes","Yes"
"26-1404244","Care by a relative","Yes","Yes"
"26-2538994","Daycare (centre-based or home-based)","Yes","Yes"
"26-1369717","Care in child’s home by a non-relative","No","Yes"
"26-1388420","Care in child’s home by a non-relative","Yes","No"
"26-2525647","Care by a relative","Yes","No"
"26-1351358","Daycare (centre-based or home-based)","No","Yes"
"26-3826447","Care by a relative","No","Yes"
"26-1862858","Daycare (centre-based or home-based)","Yes","Yes"
"26-1867774","Daycare (centre-based or home-based)","Yes","No"
"26-2533325","Daycare (centre-based or home-based)","No","No"
"26-1402155","Care by a relative","No","Yes"
"26-2533647","Care by a relative","No","No"
"26-2981658","Care in child’s home by a non-relative","Yes","No"
"26-1363502","Care in child’s home by a non-relative","No","No"
"26-1862901","Care by a relative","No","Yes"
"26-2983179","Care in someone’s home by a non-relative","No","Yes"
"26-1367792","Care in child’s home by a non-relative","Yes","No"
"26-2984459","Care in someone’s home by a non-relative","No","No"
"26-2493788","Daycare (centre-based or home-based)","Yes","Yes"
"26-3829291","Care in someone’s home by a non-relative","Yes","No"
"26-1341374","Care in child’s home by a non-relative","No","No"
"26-1346732","Care by a relative","No","No"
"26-1867820","Care in child’s home by a non-relative","No","No"
"26-1399936","Daycare (centre-based or home-based)","No","No"
"26-2491971","Care in someone’s home by a non-relative","Yes","No"
"26-1354928","Care by a relative","No","Yes"
"26-2535642","Care by a relative","Yes","No"
"26-3501546","Care in someone’s home by a non-relative","Yes","Yes"
"26-3811915","Care in child’s home by a non-relative","Yes","No"
"26-1395919","Daycare (centre-based or home-based)","No","No"
"26-2498848","Care in someone’s home by a non-relative","No","Yes"
"26-1374004","Care by a relative","Yes","No"
"26-2536628","Care by a relative","No","Yes"
"26-1365190","Care in child’s home by a non-relative","No","No"
"26-3813593","Care by a relative","No","Yes"
"26-3501836","Daycare (centre-based or home-based)","No","Yes"
"26-3817919","Care by a relative","No","Yes"
"26-1375434","Care in someone’s home by a non-relative","Yes","Yes"
"26-1403261","Care in child’s home by a non-relative","Yes","Yes"
"26-1365167","Care in someone’s home by a non-relative","Yes","No"
"26-1351358","Care in child’s home by a non-relative","No","Yes"
"26-1369921","Care in child’s home by a non-relative","No","No"
"26-1363994","Care by a relative","No","Yes"
"26-3465623","Care in someone’s home by a non-relative","No","Yes"
"26-1355968","Care in child’s home by a non-relative","No","Yes"
"26-1394863","Daycare (centre-based or home-based)","Yes","No"
"26-3463455","Care in child’s home by a non-relative","No","No"
"26-1861564","Daycare (centre-based or home-based)","Yes","Yes"
"26-1862831","Care in child’s home by a non-relative","Yes","No"
"26-3823271","Care in someone’s home by a non-relative","No","Yes"
"26-2527220","Daycare (centre-based or home-based)","No","Yes"
"26-2514917","Care in someone’s home by a non-relative","Yes","Yes"
"26-2532097","Care by a relative","No","No"
"26-2495726","Care in child’s home by a non-relative","No","No"
"26-1349626","Care by a relative","Yes","Yes"
"26-1408994","Care in someone’s home by a non-relative","No","No"
"26-3468369","Care by a relative","Yes","No"
"26-3823152","Care by a relative","Yes","No"
"26-1391931","Daycare (centre-based or home-based)","No","Yes"
"26-2522151","Care in child’s home by a non-relative","Yes","No"
"26-3827682","Care in someone’s home by a non-relative","No","No"
"26-3827607","Care in someone’s home by a non-relative","No","No"
"26-3462714","Care by a relative","No","Yes"
"26-1369501","Care by a relative","No","No"
"26-1368301","Daycare (centre-based or home-based)","No","No"
"26-3811290","Care in child’s home by a non-relative","Yes","No"
"26-1407760","Care in someone’s home by a non-relative","Yes","Yes"
"26-2517022","Care in child’s home by a non-relative","No","Yes"
"26-2513671","Daycare (centre-based or home-based)","Yes","No"
"26-3826005","Daycare (centre-based or home-based)","No","No"
"26-1405310","Care in child’s home by a non-relative","Yes","Yes"
"26-1364994","Care in child’s home by a non-relative","No","Yes"
"26-2535395","Care in child’s home by a non-relative","No","No"
"26-2513149","Care by a relative","No","No"
"26-2517714","Care in someone’s home by a non-relative","Yes","No"
"26-1361299","Care in someone’s home by a non-relative","No","No"
"26-1867914","Care in someone’s home by a non-relative","No","No"
"26-3504510","Care by a relative","No","Yes"
"26-1386222","Care by a relative","Yes","Yes"
"26-1393759","Care in child’s home by a non-relative","Yes","No"
"26-2519945","Care in child’s home by a non-relative","Yes","Yes"
"26-2981605","Daycare (centre-based or home-based)","Yes","No"
"26-3469970","Care in someone’s home by a non-relative","Yes","Yes"
"26-2981806","Daycare (centre-based or home-based)","No","Yes"
"26-1398851","Daycare (centre-based or home-based)","Yes","No"
"26-1409646","Daycare (centre-based or home-based)","No","No"
"26-1867460","Care in someone’s home by a non-relative","Yes","Yes"
"26-3813030","Care in someone’s home by a non-relative","Yes","Yes"
"26-2537137","Daycare (centre-based or home-based)","Yes","Yes"
"26-2538520","Care by a relative","No","Yes"
"26-2536155","Care in someone’s home by a non-relative","Yes","No"
"26-3827176","Care in child’s home by a non-relative","No","No"
"26-1383835","Care in child’s home by a non-relative","No","Yes"
"26-1386052","Care in child’s home by a non-relative","No","Yes"
"26-3828611","Care by a relative","No","Yes"
"26-1358015","Care in child’s home by a non-relative","No","Yes"
"26-1343553","Care by a relative","Yes","Yes"
"26-1366143","Daycare (centre-based or home-based)","Yes","No"
"26-3828993","Care in someone’s home by a non-relative","No","No"
"26-1866484","Daycare (centre-based or home-based)","No","No"
"26-1381090","Daycare (centre-based or home-based)","Yes","Yes"
"26-2986133","Care in someone’s home by a non-relative","Yes","Yes"
"26-1397425","Care by a relative","No","No"
"26-3812434","Care in someone’s home by a non-relative","No","Yes"
"26-1387075","Daycare (centre-based or home-based)","No","Yes"
"26-3509749","Care in child’s home by a non-relative","Yes","No"
"26-1394784","Care in someone’s home by a non-relative","Yes","No"
"26-2988920","Daycare (centre-based or home-based)","Yes","Yes"
"26-1367221","Daycare (centre-based or home-based)","No","Yes"
"26-1397371","Care by a relative","Yes","Yes"
"26-1352070","Care in child’s home by a non-relative","Yes","No"
"26-1406268","Care in someone’s home by a non-relative","No","No"
"26-2514690","Care in child’s home by a non-relative","Yes","Yes"
"26-3464518","Care in child’s home by a non-relative","Yes","Yes"
"26-2982073","Daycare (centre-based or home-based)","Yes","Yes"
"26-3828539","Care by a relative","Yes","Yes"
"26-1384186","Daycare (centre-based or home-based)","Yes","No"
"26-1396981","Care in someone’s home by a non-relative","No","No"
"26-2984766","Care in child’s home by a non-relative","Yes","Yes"
"26-3507599","Daycare (centre-based or home-based)","No","No"
"26-1403262","Daycare (centre-based or home-based)","Yes","No"
"26-2496704","Care by a relative","No","No"
"26-2517663","Daycare (centre-based or home-based)","No","Yes"
"26-1384421","Care in someone’s home by a non-relative","No","Yes"
"26-1393615","Care in child’s home by a non-relative","Yes","No"
"26-1384017","Care by a relative","No","Yes"
"26-3829388","Care by a relative","Yes","Yes"
"26-2513671","Daycare (centre-based or home-based)","Yes","Yes"
"26-3814601","Care in child’s home by a non-relative","Yes","No"
"26-2515817","Care in child’s home by a non-relative","No","Yes"
"26-1374181","Care by a relative","No","No"
"26-1378223","Care in someone’s home by a non-relative","Yes","No"
"26-3502662","Care by a relative","Yes","Yes"
"26-1395660","Care in someone’s home by a non-relative","Yes","No"
"26-2515361","Care in someone’s home by a non-relative","No","No"
"26-1865907","Care by a relative","Yes","No"
"26-2536391","Daycare (centre-based or home-based)","Yes","Yes"
"26-1349653","Care in someone’s home by a non-relative","Yes","No"
"26-1355799","Care by a relative","No","Yes"
"26-2495045","Care by a relative","No","No"
"26-3505400","Care in someone’s home by a non-relative","Yes","No"
"26-1386222","Care by a relative","No","No"
"26-1361331","Care in child’s home by a non-relative","Yes","Yes"
"26-1381661","Care in someone’s home by a non-relative","No","Yes"
"26-1409944","Care by a relative","Yes","No"
"26-3509675","Care by a relative","Yes","No"
"26-1352772","Daycare (centre-based or home-based)","Yes","No"
"26-1391439","Care in someone’s home by a non-relative","No","No"
"26-1358988","Care in child’s home by a non-relative","No","No"
"26-1398460","Care by a relative","Yes","No"
"26-3503034","Care in someone’s home by a non-relative","No","Yes"
"26-1866708","Care in child’s home by a non-relative","Yes","Yes"
"26-2983317","Care in someone’s home by a non-relative","No","No"
"26-3463974","Daycare (centre-based or home-based)","No","Yes"
"26-3508098","Care in someone’s home by a non-relative","No","No"
"26-2539920","Care in someone’s home by a non-relative","Yes","No"
"26-3817378","Care by a relative","No","No"
"26-1365502","Care by a relative","No","No"
"26-3819731","Care in someone’s home by a non-relative","No","No"
"26-1375049","Care in child’s home by a non-relative","Yes","Yes"
"26-2495566","Daycare (centre-based or home-based)","No","Yes"
"26-1343087","Care by a relative","No","Yes"
"26-3827449","Care in child’s home by a non-relative","Yes","Yes"
"26-2516482","Care in child’s home by a non-relative","Yes","No"
"26-1364483","Daycare (centre-based or home-based)","Yes","No"
"26-1373401","Care by a relative","Yes","No"
"26-1372846","Care in someone’s home by a non-relative","Yes","No"
"26-1863061","Care in someone’s home by a non-relative","No","Yes"
"26-1341733","Daycare (centre-based or home-based)","Yes","No"
"26-2532919","Care by a relative","No","No"
"26-1399764","Daycare (centre-based or home-based)","No","Yes"
"26-2492471","Daycare (centre-based or home-based)","No","No"
"26-2518556","Care by a relative","Yes","Yes"
"26-1387944","Care in someone’s home by a non-relative","No","Yes"
"26-2527220","Care in someone’s home by a non-relative","Yes","Yes"
"26-2538130","Daycare (centre-based or home-based)","No","Yes"
"26-3504968","Care in child’s home by a non-relative","Yes","Yes"
"26-2523674","Care in someone’s home by a non-relative","Yes","Yes"
"26-1401282","Care in child’s home by a non-relative","Yes","No"
"26-1347248","Care in someone’s home by a non-relative","No","Yes"
"26-1344014","Care in someone’s home by a non-relative","No","No"
"26-1365603","Care by a relative","No","No"
"26-3465623","Care in child’s home by a non-relative","No","Yes"
"26-2527898","Daycare (centre-based or home-based)","No","No"
"26-3507650","Care by a relative","Yes","Yes"
"26-2529597","Care in child’s home by a non-relative","Yes","Yes"
"26-3829773","Care in someone’s home by a non-relative","Yes","Yes"
"26-2515571","Care in child’s home by a non-relative","Yes","Yes"
"26-1374563","Daycare (centre-based or home-based)","Yes","Yes"
"26-2538520","Daycare (centre-based or home-based)","No","Yes"
"26-1342778","Care by a relative","Yes","No"
"26-2514917","Care in child’s home by a non-relative","No","No"
"26-1368188","Care in someone’s home by a non-relative","No","No"
"26-1399677","Daycare (centre-based or home-based)","Yes","Yes"
"26-2516419","Daycare (centre-based or home-based)","No","Yes"
"26-1868130","Daycare (centre-based or home-based)","No","No"
"26-1394116","Daycare (centre-based or home-based)","No","No"
"26-3464852","Daycare (centre-based or home-based)","No","No"
"26-1367680","Care by a relative","Yes","Yes"
"26-1395382","Care in child’s home by a non-relative","Yes","No"
"26-2497310","Care in someone’s home by a non-relative","Yes","No"
"26-2495982","Care in child’s home by a non-relative","Yes","No"
"26-2519884","Care in child’s home by a non-relative","Yes","Yes"
"26-1378519","Care in child’s home by a non-relative","Yes","No"
"26-1343374","Daycare (centre-based or home-based)","No","Yes"
"26-1398740","Care by a relative","No","Yes"
"26-2988088","Care in child’s home by a non-relative","Yes","No"
"26-2989148","Daycare (centre-based or home-based)","Yes","Yes"
"26-3508063","Care by a relative","No","No"
"26-1403243","Care by a relative","Yes","Yes"
"26-2512454","Care in someone’s home by a non-relative","No","Yes"
"26-1407789","Care in child’s home by a non-relative","No","Yes"
"26-3815904","Daycare (centre-based or home-based)","Yes","Yes"
"26-2986631","Care in child’s home by a non-relative","No","Yes"
"26-1352117","Care in someone’s home by a non-relative","No","No"
"26-1348931","Care in child’s home by a non-relative","No","Yes"
"26-1864947","Care by a relative","Yes","No"
"26-1376623","Daycare (centre-based or home-based)","No","Yes"
"26-1867497","Daycare (centre-based or home-based)","No","Yes"
"26-1379881","Daycare (centre-based or home-based)","Yes","Yes"
"26-3829452","Care by a relative","Yes","No"
"26-2982598","Care in someone’s home by a non-relative","No","No"
"26-3506112","Care by a relative","Yes","Yes"
"26-1376003","Care by a relative","Yes","Yes"
"26-3461457","Daycare (centre-based or home-based)","No","No"
"26-2534898","Care by a relative","Yes","Yes"
"26-2518275","Care by a relative","Yes","Yes"
"26-2516543","Daycare (centre-based or home-based)","No","No"
"26-1343941","Care in someone’s home by a non-relative","No","Yes"
"26-1373401","Care in someone’s home by a non-relative","Yes","No"
"26-1345125","Daycare (centre-based or home-based)","No","No"
"26-3461991","Daycare (centre-based or home-based)","No","Yes"
"26-1372729","Care by a relative","No","Yes"
"26-1389508","Daycare (centre-based or home-based)","Yes","No"
"26-1366143","Care in child’s home by a non-relative","Yes","No"
"26-1385918","Care in child’s home by a non-relative","Yes","No"
"26-2513060","Care by a relative","No","No"
"26-3466804","Care by a relative","Yes","No"
"26-1344793","Care in child’s home by a non-relative","No","No"
"26-3812952","Care in child’s home by a non-relative","No","Yes"
"26-2984926","Daycare (centre-based or home-based)","Yes","No"
"26-1864708","Care in someone’s home by a non-relative","No","No"
"26-1355773","Daycare (centre-based or home-based)","No","Yes"
"26-1383741","Care in child’s home by a non-relative","Yes","Yes"
"26-3825373","Care in someone’s home by a non-relative","No","Yes"
"26-1383238","Care in someone’s home by a non-relative","No","No"
"26-1354402","Care in child’s home by a non-relative","No","No"
"26-1866891","Daycare (centre-based or home-based)","No","Yes"
"26-1861076","Care in someone’s home by a non-relative","No","No"
"26-1351783","Care in child’s home by a non-relative","Yes","No"
"26-2515919","Care by a relative","No","Yes"
"26-1375613","Care in child’s home by a non-relative","Yes","No"
"26-2531226","Care in someone’s home by a non-relative","Yes","No"
"26-1378182","Daycare (centre-based or home-based)","No","No"
"26-1389667","Care in child’s home by a non-relative","No","No"
"26-1375233","Care in child’s home by a non-relative","Yes","No"
"26-2493266","Care in someone’s home by a non-relative","No","Yes"
"26-2539692","Care in someone’s home by a non-relative","Yes","No"
"26-2534839","Care in someone’s home by a non-relative","Yes","No"
"26-3462714","Care in child’s home by a non-relative","No","Yes"
"26-3829791","Daycare (centre-based or home-based)","No","Yes"
"26-1396168","Care by a relative","No","Yes"
"26-2539692","Care by a relative","Yes","No"
"26-2985739","Daycare (centre-based or home-based)","No","No"
"26-1867429","Care in someone’s home by a non-relative","Yes","Yes"
"26-1344107","Care in someone’s home by a non-relative","No","No"
"26-1396654","Care in someone’s home by a non-relative","Yes","Yes"
"26-1373586","Care in child’s home by a non-relative","No","No"
"26-3816919","Daycare (centre-based or home-based)","Yes","No"
"26-2492637","Daycare (centre-based or home-based)","Yes","Yes"
"26-2535642","Care by a relative","Yes","Yes"
"26-3823152","Care in someone’s home by a non-relative","Yes","No"
"26-1869665","Care in someone’s home by a non-relative","No","Yes"
"26-1394857","Care in child’s home by a non-relative","No","Yes"
"26-1408734","Care in someone’s home by a non-relative","Yes","No"
"26-1358214","Care by a relative","No","Yes"
"26-1409176","Care in child’s home by a non-relative","Yes","Yes"
"26-3813934","Care by a relative","No","No"
"26-1376623","Care in child’s home by a non-relative","Yes","No"
"26-1361623","Care by a relative","No","No"
"26-1398009","Care in someone’s home by a non-relative","No","Yes"
"26-1343375","Daycare (centre-based or home-based)","No","No"
"26-2989717","Care in someone’s home by a non-relative","No","No"
"26-2985047","Care in child’s home by a non-relative","Yes","Yes"
"26-1394124","Care in child’s home by a non-relative","No","No"
"26-3817774","Daycare (centre-based or home-based)","Yes","No"
"26-2986133","Care in someone’s home by a non-relative","Yes","Yes"
"26-3825756","Care in someone’s home by a non-relative","No","Yes"
"26-3825373","Care by a relative","No","Yes"
"26-1391315","Daycare (centre-based or home-based)","No","Yes"
"26-1393687","Care by a relative","No","No"
"26-2524070","Care by a relative","Yes","No"
"26-1394167","Care in someone’s home by a non-relative","No","No"
"26-1865907","Care in child’s home by a non-relative","No","Yes"
"26-1393340","Daycare (centre-based or home-based)","No","No"
"26-3826163","Care by a relative","Yes","No"
"26-1377506","Care in child’s home by a non-relative","No","Yes"
"26-1866484","Care by a relative","Yes","Yes"
"26-1864860","Daycare (centre-based or home-based)","Yes","Yes"
"26-1864860","Care in child’s home by a non-relative","Yes","Yes"
"26-2513501","Care in child’s home by a non-relative","Yes","Yes"
"26-2524662","Daycare (centre-based or home-based)","Yes","No"
"26-1343445","Care in someone’s home by a non-relative","No","No"
"26-1861842","Care in child’s home by a non-relative","Yes","No"
"26-3469619","Daycare (centre-based or home-based)","Yes","Yes"
"26-2534081","Care in child’s home by a non-relative","Yes","No"
"26-1356329","Care in child’s home by a non-relative","Yes","No"
"26-2492637","Care by a relative","No","Yes"
"26-1369389","Care by a relative","No","Yes"
"26-2984672","Care in someone’s home by a non-relative","Yes","No"
"26-3828369","Care by a relative","Yes","No"
"26-3813481","Care by a relative","No","Yes"
"26-1405308","Care in someone’s home by a non-relative","Yes","No"
"26-1363334","Care in child’s home by a non-relative","Yes","Yes"
"26-2498926","Daycare (centre-based or home-based)","No","Yes"
"26-2983691","Daycare (centre-based or home-based)","Yes","Yes"
"26-1381726","Care by a relative","No","Yes"
"26-1357430","Daycare (centre-based or home-based)","Yes","Yes"
"26-1357077","Care by a relative","No","No"
"26-3829773","Daycare (centre-based or home-based)","Yes","No"
"26-3813096","Care in someone’s home by a non-relative","No","Yes"
"26-1401282","Care by a relative","No","No"
"26-1371494","Care by a relative","No","No"
"26-1348854","Care by a relative","Yes","Yes"
"26-2985739","Daycare (centre-based or home-based)","Yes","Yes"
"26-1376653","Care in child’s home by a non-relative","No","Yes"
"26-1862666","Care in someone’s home by a non-relative","Yes","No"
"26-1374247","Care by a relative","Yes","Yes"
"26-2539928","Care in child’s home by a non-relative","No","No"
"26-2526931","Care by a relative","Yes","No"
"26-3507894","Care by a relative","No","No"
"26-3505182","Care in someone’s home by a non-relative","Yes","Yes"
"26-1376425","Care in child’s home by a non-relative","No","Yes"
"26-3508545","Daycare (centre-based or home-based)","No","Yes"
"26-1376425","Daycare (centre-based or home-based)","Yes","Yes"
"26-1369515","Care in someone’s home by a non-relative","Yes","Yes"
"26-1398460","Daycare (centre-based or home-based)","No","Yes"
"26-3829355","Care by a relative","Yes","Yes"
"26-1359212","Care by a relative","No","No"
"26-3507786","Care in child’s home by a non-relative","No","Yes"
"26-1403571","Care in child’s home by a non-relative","Yes","No"
"26-2517611","Care in someone’s home by a non-relative","No","Yes"
"26-2499355","Daycare (centre-based or home-based)","Yes","No"
"26-3468580","Care in child’s home by a non-relative","Yes","Yes"
"26-2526224","Care in child’s home by a non-relative","No","No"
"26-1355675","Care by a relative","No","No"
"26-1359212","Care by a relative","No","No"
"26-1343674","Care in someone’s home by a non-relative","No","Yes"
"26-3828539","Daycare (centre-based or home-based)","Yes","No"
"26-1867962","Care by a relative","Yes","No"
"26-2537137","Care in someone’s home by a non-relative","No","No"
"26-2525778","Daycare (centre-based or home-based)","No","Yes"
"26-2538943","Care in child’s home by a non-relative","No","No"
"26-1396354","Care in child’s home by a non-relative","No","No"
"26-1368153","Care in child’s home by a non-relative","Yes","Yes"
"26-1381444","Daycare (centre-based or home-based)","Yes","No"
"26-1869360","Care in child’s home by a non-relative","No","Yes"
"26-2982073","Care by a relative","No","No"
"26-1369389","Care by a relative","Yes","No"
"26-1399132","Daycare (centre-based or home-based)","No","No"
"26-2524894","Daycare (centre-based or home-based)","Yes","No"
"26-1391439","Daycare (centre-based or home-based)","Yes","No"
"26-1861025","Care in child’s home by a non-relative","Yes","Yes"
"26-2536712","Care in child’s home by a non-relative","Yes","No"
"26-1409495","Care in someone’s home by a non-relative","Yes","Yes"
"26-2535562","Daycare (centre-based or home-based)","Yes","Yes"
"26-3469340","Care in someone’s home by a non-relative","Yes","No"
"26-3822755","Care in someone’s home by a non-relative","No","Yes"
"26-3824867","Care in someone’s home by a non-relative","Yes","No"
"26-1355458","Care in someone’s home by a non-relative","No","No"
"26-3507650","Care in someone’s home by a non-relative","Yes","Yes"
"26-2983062","Care in someone’s home by a non-relative","Yes","No"
"26-1385816","Care by a relative","No","Yes"
"26-1386595","Care by a relative","Yes","Yes"
"26-3507650","Care in someone’s home by a non-relative","Yes","No"
"26-1396630","Daycare (centre-based or home-based)","Yes","Yes"
"26-1404837","Care in someone’s home by a non-relative","No","Yes"
"26-3468389","Care by a relative","Yes","No"
"26-3463965","Daycare (centre-based or home-based)","No","Yes"
"26-1359127","Daycare (centre-based or home-based)","Yes","No"
"26-1407827","Care by a relative","No","No"
"26-1356173","Care by a relative","No","No"
"26-1379881","Care in child’s home by a non-relative","No","Yes"
"26-3466338","Care by a relative","No","Yes"
"26-2532609","Care in child’s home by a non-relative","No","No"
"26-1405394","Care in child’s home by a non-relative","Yes","No"
"26-1868475","Care in someone’s home by a non-relative","No","No"
"26-3467698","Care in someone’s home by a non-relative","No","No"
"26-3829216","Care in child’s home by a non-relative","Yes","No"
"26-2984774","Care by a relative","Yes","No"
"26-2516312","Care in child’s home by a non-relative","Yes","No"
"26-2513390","Care in child’s home by a non-relative","No","No"
"26-1382812","Care in child’s home by a non-relative","No","No"
"26-2536836","Care in someone’s home by a non-relative","Yes","Yes"
"26-3829992","Care by a relative","Yes","Yes"
"26-1385304","Care in someone’s home by a non-relative","Yes","No"
"26-2988583","Care in someone’s home by a non-relative","Yes","No"
"26-1861056","Care in child’s home by a non-relative","Yes","No"
"26-2499445","Care in child’s home by a non-relative","Yes","Yes"
"26-1399512","Daycare (centre-based or home-based)","No","Yes"
"26-1867161","Care in child’s home by a non-relative","No","Yes"
"26-1869765","Care in child’s home by a non-relative","No","No"
"26-1386177","Care by a relative","No","Yes"
"26-1382812","Care in someone’s home by a non-relative","Yes","Yes"
"26-2499724","Daycare (centre-based or home-based)","No","No"
"26-3502432","Care by a relative","No","No"
"26-2534895","Daycare (centre-based or home-based)","No","Yes"
"26-3462714","Daycare (centre-based or home-based)","No","Yes"
"26-2537542","Care in child’s home by a non-relative","No","Yes"
"26-1869384","Care by a relative","Yes","No"
"26-2988990","Care in child’s home by a non-relative","No","Yes"
"26-1359492","Care in someone’s home by a non-relative","Yes","No"
"26-3814657","Care in child’s home by a non-relative","Yes","Yes"
"26-3821532","Daycare (centre-based or home-based)","No","Yes"
"26-1347698","Daycare (centre-based or home-based)","Yes","No"
"26-1355177","Care in child’s home by a non-relative","No","No"
"26-1349452","Daycare (centre-based or home-based)","No","No"
"26-1356845","Care in someone’s home by a non-relative","Yes","No"
"26-2525647","Care in someone’s home by a non-relative","Yes","No"
"26-3504712","Care by a relative","Yes","No"
"26-1355542","Care in someone’s home by a non-relative","No","No"
"26-2512454","Care by a relative","Yes","Yes"
"26-2525115","Care by a relative","No","Yes"
"26-1349441","Care by a relative","Yes","Yes"
"26-3506124","Care by a relative","No","Yes"
"26-2526855","Care by a relative","No","Yes"
"26-3827176","Care in child’s home by a non-relative","Yes","Yes"
"26-1386695","Care in child’s home by a non-relative","Yes","Yes"
"26-2492313","Care in someone’s home by a non-relative","Yes","Yes"
"26-1863555","Daycare (centre-based or home-based)","No","Yes"
"26-2493622","Care by a relative","Yes","No"
"26-2518491","Daycare (centre-based or home-based)","No","No"
"26-1393687","Care in child’s home by a non-relative","No","No"
"26-1404959","Daycare (centre-based or home-based)","No","No"
"26-3462222","Care in someone’s home by a non-relative","No","Yes"
"26-3465061","Care in child’s home by a non-relative","No","Yes"
"26-2496951","Care by a relative","Yes","No"
"26-2491830","Care in someone’s home by a non-relative","Yes","Yes"
"26-3505400","Care by a relative","No","No"
"26-1398112","Care by a relative","No","No"
"26-1365603","Care by a relative","No","No"
"26-1363414","Care in child’s home by a non-relative","Yes","No"
"26-3469954","Care in someone’s home by a non-relative","No","Yes"
"26-1343941","Care in child’s home by a non-relative","Yes","Yes"
"26-2988474","Daycare (centre-based or home-based)","No","No"
"26-1865180","Care by a relative","Yes","Yes"
"26-3813331","Care by a relative","Yes","Yes"
"26-1866862","Care in someone’s home by a non-relative","No","Yes"
"26-3501836","Daycare (centre-based or home-based)","Yes","No"
"26-3827137","Care in someone’s home by a non-relative","Yes","Yes"
