"subject","instanceid","FAMILY_INCOM"
"26-1383016",1406617,"$100,000 to $149,999"
"26-1383205",1110717,"$300, 000 to $499, 999"
"26-1383205",2095083,"$300, 000 to $499, 999"
"26-1383205",2537917,"$300, 000 to $499, 999"
"26-1383238",555699,"$80,000 to $99,999"
"26-1383238",823444,"$80,000 to $99,999"
"26-1383241",1130166,"$200, 000 to $299, 999"
"26-1383241",1189488,"$200, 000 to $299, 999"
"26-1383241",2413711,"$200, 000 to $299, 999"
"26-1383264",681730,"$100,000 to $149,999"
"26-1383264",2367177,"$100,000 to $149,999"
"26-1383319",1644805,"$80,000 to $99,999"
"26-1383360",10135,"$80,000 to $99,999"
"26-1383360",389970,"$80,000 to $99,999"
"26-1383508",2516091,"$30,000 to $39,999"
"26-1383508",2588260,"$30,000 to $39,999"
"26-1383570",385279,"$150, 000 to $199, 999"
"26-1383570",2038122,"$150, 000 to $199, 999"
"26-1383604",302907,"$100,000 to $149,999"
"26-1383604",884256,"$100,000 to $149,999"
"26-1383695",72992,"$40,000 to $49,999"
"26-1383741",1204611,"$30,000 to $39,999"
"26-1383741",1642877,"$30,000 to $39,999"
"26-1383741",2556105,"$30,000 to $39,999"
"26-1383758",1350835,"$150,000 or more"
"26-1383758",2318843,"$150,000 or more"
"26-1383776",94990,"$150, 000 to $199, 999"
"26-1383776",757554,"$150, 000 to $199, 999"
"26-1383776",2412869,"$150, 000 to $199, 999"
"26-1383835",236365,"$60,000 to $79,999"
"26-1384017",2073675,"$150,000 or more"
"26-1384017",2445752,"$150,000 or more"
"26-1384020",373070,"$100,000 to $149,999"
"26-1384020",858597,"$100,000 to $149,999"
"26-1384186",873164,"$150, 000 to $199, 999"
"26-1384186",1608678,"$150, 000 to $199, 999"
"26-1384186",1805707,"$150, 000 to $199, 999"
"26-1384186",2293857,"$150, 000 to $199, 999"
"26-1384302",470319,"$150,000 or more"
"26-1384336",1011046,"$500, 000 or more"
"26-1384363",659065,"$150, 000 to $199, 999"
"26-1384376",256134,"$200, 000 to $299, 999"
"26-1384401",1492772,"$150,000 or more"
"26-1384421",1579210,"$100,000 to $149,999"
"26-1384421",2428286,"$100,000 to $149,999"
"26-1384421",2633402,"$100,000 to $149,999"
"26-1384852",1064197,"$40,000 to $49,999"
"26-1384852",1879350,"$40,000 to $49,999"
"26-1384852",2096275,"$40,000 to $49,999"
"26-1384939",1388346,"$200, 000 to $299, 999"
"26-1384939",2210736,"$200, 000 to $299, 999"
"26-1385146",49533,"$200, 000 to $299, 999"
"26-1385146",146023,"$200, 000 to $299, 999"
"26-1385229",990192,"$80,000 to $99,999"
"26-1385229",1647227,"$80,000 to $99,999"
"26-1385229",1857418,"$80,000 to $99,999"
"26-1385229",2476347,"$80,000 to $99,999"
"26-1385231",1357020,"$100,000 to $149,999"
"26-1385231",1535835,"$100,000 to $149,999"
"26-1385231",2618596,"$100,000 to $149,999"
"26-1385304",426217,"$500, 000 or more"
"26-1385304",2252252,"$500, 000 or more"
"26-1385398",442084,"$80,000 to $99,999"
"26-1385398",1464351,"$80,000 to $99,999"
"26-1385398",1575209,"$80,000 to $99,999"
"26-1385463",1206545,"$150, 000 to $199, 999"
"26-1385483",617975,"$30,000 to $39,999"
"26-1385483",887242,"$30,000 to $39,999"
"26-1385483",2056032,"$30,000 to $39,999"
"26-1385673",323007,"$20,000 to $29,999"
"26-1385673",680961,"$20,000 to $29,999"
"26-1385776",23460,"$150, 000 to $199, 999"
"26-1385776",439834,"$150, 000 to $199, 999"
"26-1385776",853637,"$150, 000 to $199, 999"
"26-1385776",1791658,"$150, 000 to $199, 999"
"26-1385776",2386344,"$150, 000 to $199, 999"
"26-1385776",2502362,"$150, 000 to $199, 999"
"26-1385814",12752,"$100,000 to $149,999"
"26-1385814",1607607,"$100,000 to $149,999"
"26-1385814",1659950,"$100,000 to $149,999"
"26-1385816",664456,"$150,000 or more"
"26-1385816",2309584,"$150,000 or more"
"26-1385864",339898,"$100,000 to $149,999"
"26-1385864",1143144,"$100,000 to $149,999"
"26-1385864",1626932,"$100,000 to $149,999"
"26-1385910",58184,"$80,000 to $99,999"
"26-1385910",1334038,"$80,000 to $99,999"
"26-1385918",1747371,"$100,000 to $149,999"
"26-1385918",2498822,"$100,000 to $149,999"
"26-1385969",1474168,"$200, 000 to $299, 999"
"26-1385969",2532087,"$200, 000 to $299, 999"
"26-1386002",1253088,"$150, 000 to $199, 999"
"26-1386002",1840650,"$150, 000 to $199, 999"
"26-1386052",369304,"$100,000 to $149,999"
"26-1386052",719900,"$100,000 to $149,999"
"26-1386052",794728,"$100,000 to $149,999"
"26-1386052",2187805,"$100,000 to $149,999"
"26-1386052",2237795,"$100,000 to $149,999"
"26-1386052",2432507,"$100,000 to $149,999"
"26-1386055",360094,"$60,000 to $79,999"
"26-1386055",1325728,"$60,000 to $79,999"
"26-1386177",1420234,"$200, 000 to $299, 999"
"26-1386177",1536283,"$200, 000 to $299, 999"
"26-1386177",1555809,"$200, 000 to $299, 999"
"26-1386177",2252764,"$200, 000 to $299, 999"
"26-1386177",2354405,"$200, 000 to $299, 999"
"26-1386222",2202750,"$10,000 to $19,999"
"26-1386222",2646553,"$10,000 to $19,999"
"26-1386350",282235,"$200, 000 to $299, 999"
"26-1386350",702687,"$200, 000 to $299, 999"
"26-1386373",430282,"$60,000 to $79,999"
"26-1386373",462898,"$60,000 to $79,999"
"26-1386373",2627356,"$60,000 to $79,999"
"26-1386401",189374,"$150,000 or more"
"26-1386465",243829,"$150,000 or more"
"26-1386465",1925320,"$150,000 or more"
"26-1386465",2038969,"$150,000 or more"
"26-1386526",526008,"$200, 000 to $299, 999"
"26-1386526",1808665,"$200, 000 to $299, 999"
"26-1386547",530778,"$300, 000 to $499, 999"
"26-1386547",2034669,"$300, 000 to $499, 999"
"26-1386595",1099006,"$200, 000 to $299, 999"
"26-1386595",1865027,"$200, 000 to $299, 999"
"26-1386595",1957925,"$200, 000 to $299, 999"
"26-1386666",871051,"$100,000 to $149,999"
"26-1386695",211999,"$500, 000 or more"
"26-1386695",513426,"$500, 000 or more"
"26-1386695",1329588,"$500, 000 or more"
"26-1386695",1520379,"$500, 000 or more"
"26-1386695",2097433,"$500, 000 or more"
"26-1386695",2134011,"$500, 000 or more"
"26-1386695",2443031,"$500, 000 or more"
"26-1386714",811761,"$150, 000 to $199, 999"
"26-1386794",14476,"$150,000 or more"
"26-1386794",2445235,"$150,000 or more"
"26-1386794",2493891,"$150,000 or more"
"26-1386794",2636417,"$150,000 or more"
"26-1386868",451187,"$100,000 to $149,999"
"26-1386868",632201,"$100,000 to $149,999"
"26-1386868",637670,"$100,000 to $149,999"
"26-1386990",1413103,"$80,000 to $99,999"
"26-1387033",30882,"$60,000 to $79,999"
"26-1387033",70745,"$60,000 to $79,999"
"26-1387033",996309,"$60,000 to $79,999"
"26-1387066",389236,"$40,000 to $49,999"
"26-1387066",945842,"$40,000 to $49,999"
"26-1387067",1239584,"$60,000 to $79,999"
"26-1387067",1915892,"$60,000 to $79,999"
"26-1387075",397523,"$300, 000 to $499, 999"
"26-1387075",852356,"$300, 000 to $499, 999"
"26-1387121",1085377,"$150,000 or more"
"26-1387121",1345011,"$150,000 or more"
"26-1387121",1884948,"$150,000 or more"
"26-1387121",2017257,"$150,000 or more"
"26-1387121",2036853,"$150,000 or more"
"26-1387405",1670601,"$50,000 to $59,999"
"26-1387426",914758,"$150, 000 to $199, 999"
"26-1387429",1325676,"$100,000 to $149,999"
"26-1387429",1340092,"$100,000 to $149,999"
"26-1387735",509579,"$60,000 to $79,999"
"26-1387873",19324,"$300, 000 to $499, 999"
"26-1387873",2644915,"$300, 000 to $499, 999"
"26-1387944",991322,"$60,000 to $79,999"
"26-1387944",1134350,"$60,000 to $79,999"
"26-1387944",2036532,"$60,000 to $79,999"
"26-1387944",2391934,"$60,000 to $79,999"
"26-1387944",2456859,"$60,000 to $79,999"
"26-1388012",211774,"$150,000 or more"
"26-1388012",907205,"$150,000 or more"
"26-1388012",1693967,"$150,000 or more"
"26-1388148",937884,"$200, 000 to $299, 999"
"26-1388250",399019,"$60,000 to $79,999"
"26-1388250",950241,"$60,000 to $79,999"
"26-1388250",1597115,"$60,000 to $79,999"
"26-1388250",1601573,"$60,000 to $79,999"
"26-1388250",2482350,"$60,000 to $79,999"
"26-1388420",471962,"$200, 000 to $299, 999"
"26-1388420",808704,"$200, 000 to $299, 999"
"26-1388420",1454511,"$200, 000 to $299, 999"
"26-1388420",1493316,"$200, 000 to $299, 999"
"26-1388420",1992245,"$200, 000 to $299, 999"
"26-1388420",2618929,"$200, 000 to $299, 999"
"26-1388558",1382560,"$100,000 to $149,999"
"26-1388558",1582679,"$100,000 to $149,999"
"26-1388558",2425073,"$100,000 to $149,999"
"26-1388558",2569424,"$100,000 to $149,999"
"26-1388618",606089,"$300, 000 to $499, 999"
"26-1388706",1089171,"$150, 000 to $199, 999"
"26-1388706",2494334,"$150, 000 to $199, 999"
"26-1388940",404070,"$150,000 or more"
"26-1388940",1594701,"$150,000 or more"
"26-1388954",813992,"$100,000 to $149,999"
"26-1388954",2369435,"$100,000 to $149,999"
"26-1388999",718695,"$150, 000 to $199, 999"
"26-1389111",1144517,"$100,000 to $149,999"
"26-1389111",2609809,"$100,000 to $149,999"
"26-1389111",2625925,"$100,000 to $149,999"
"26-1389168",463402,"$150, 000 to $199, 999"
"26-1389168",1463858,"$150, 000 to $199, 999"
"26-1389168",1638022,"$150, 000 to $199, 999"
"26-1389168",1883521,"$150, 000 to $199, 999"
"26-1389230",2575603,"$100,000 to $149,999"
"26-1389338",19761,"$150, 000 to $199, 999"
"26-1389338",1882473,"$150, 000 to $199, 999"
"26-1389434",1343652,"$100,000 to $149,999"
"26-1389434",2500651,"$100,000 to $149,999"
"26-1389508",1173937,"$150,000 or more"
"26-1389516",1600410,"$100,000 to $149,999"
"26-1389631",2234094,"$150,000 or more"
"26-1389667",529534,"$150, 000 to $199, 999"
"26-1389667",1428695,"$150, 000 to $199, 999"
"26-1389667",2250815,"$150, 000 to $199, 999"
"26-1389982",2573646,"$60,000 to $79,999"
"26-1391098",454398,"$100,000 to $149,999"
"26-1391315",1939451,"$100,000 to $149,999"
"26-1391392",1436802,"$150,000 or more"
"26-1391439",772587,"$100,000 to $149,999"
"26-1391439",1058030,"$100,000 to $149,999"
"26-1391439",1138951,"$100,000 to $149,999"
"26-1391439",1284488,"$100,000 to $149,999"
"26-1391439",1973180,"$100,000 to $149,999"
"26-1391476",6583,"$80,000 to $99,999"
"26-1391476",1770071,"$80,000 to $99,999"
"26-1391483",101638,"$100,000 to $149,999"
"26-1391505",1243247,"$100,000 to $149,999"
"26-1391530",16273,"$100,000 to $149,999"
"26-1391530",184213,"$100,000 to $149,999"
"26-1391592",2620028,"$150, 000 to $199, 999"
"26-1391628",501208,"$150, 000 to $199, 999"
"26-1391628",727110,"$150, 000 to $199, 999"
"26-1391628",1943837,"$150, 000 to $199, 999"
"26-1391683",1262003,"$50,000 to $59,999"
"26-1391683",1469517,"$50,000 to $59,999"
"26-1391739",497846,"$40,000 to $49,999"
"26-1391739",1405494,"$40,000 to $49,999"
"26-1391739",1646326,"$40,000 to $49,999"
"26-1391739",1792815,"$40,000 to $49,999"
"26-1391916",243084,"$200, 000 to $299, 999"
"26-1391916",662512,"$200, 000 to $299, 999"
"26-1391916",733015,"$200, 000 to $299, 999"
"26-1391916",2570985,"$200, 000 to $299, 999"
"26-1391931",806038,"$40,000 to $49,999"
"26-1391931",1929540,"$40,000 to $49,999"
"26-1391931",2115779,"$40,000 to $49,999"
"26-1391948",227432,"$60,000 to $79,999"
"26-1391948",2203942,"$60,000 to $79,999"
"26-1391951",486514,"$80,000 to $99,999"
"26-1391951",1793745,"$80,000 to $99,999"
"26-1392018",1240263,"$80,000 to $99,999"
"26-1392082",1465475,"$50,000 to $59,999"
"26-1392082",1483788,"$50,000 to $59,999"
"26-1392197",1082308,"$80,000 to $99,999"
"26-1392311",605994,"$150,000 or more"
"26-1392311",1699776,"$150,000 or more"
"26-1392311",2612126,"$150,000 or more"
"26-1392465",1789689,"$100,000 to $149,999"
"26-1392476",123860,"$50,000 to $59,999"
"26-1392476",2159784,"$50,000 to $59,999"
"26-1392476",2630275,"$50,000 to $59,999"
"26-1392565",1134577,"$100,000 to $149,999"
"26-1392681",665208,"$80,000 to $99,999"
"26-1392681",1059464,"$80,000 to $99,999"
"26-1392681",2580983,"$80,000 to $99,999"
"26-1392681",2620034,"$80,000 to $99,999"
"26-1392791",1398866,"$150, 000 to $199, 999"
"26-1392791",1910522,"$150, 000 to $199, 999"
"26-1392870",534393,"$60,000 to $79,999"
"26-1392870",2581219,"$60,000 to $79,999"
"26-1392887",443748,"$200, 000 to $299, 999"
"26-1392982",361873,"$200, 000 to $299, 999"
"26-1393000",618384,"$60,000 to $79,999"
"26-1393000",2262070,"$60,000 to $79,999"
"26-1393000",2527480,"$60,000 to $79,999"
"26-1393080",610225,"$100,000 to $149,999"
"26-1393080",1795466,"$100,000 to $149,999"
"26-1393080",1873059,"$100,000 to $149,999"
"26-1393340",1329452,"$150,000 or more"
"26-1393340",1538972,"$150,000 or more"
"26-1393421",2176621,"$300, 000 to $499, 999"
"26-1393430",11617,"$10,000 to $19,999"
"26-1393564",292091,"$30,000 to $39,999"
"26-1393564",846600,"$30,000 to $39,999"
"26-1393589",2354516,"$150, 000 to $199, 999"
"26-1393615",49253,"$20,000 to $29,999"
"26-1393615",1583432,"$20,000 to $29,999"
"26-1393615",1640458,"$20,000 to $29,999"
"26-1393615",1773277,"$20,000 to $29,999"
"26-1393615",2485017,"$20,000 to $29,999"
"26-1393615",2621637,"$20,000 to $29,999"
"26-1393630",925401,"$100,000 to $149,999"
"26-1393680",1971976,"$100,000 to $149,999"
"26-1393687",853356,"$150,000 or more"
"26-1393687",1303647,"$150,000 or more"
"26-1393687",1941048,"$150,000 or more"
"26-1393724",40279,"$80,000 to $99,999"
"26-1393724",225088,"$80,000 to $99,999"
"26-1393724",1223970,"$80,000 to $99,999"
"26-1393729",196935,"$150, 000 to $199, 999"
"26-1393729",350415,"$150, 000 to $199, 999"
"26-1393729",1430871,"$150, 000 to $199, 999"
"26-1393735",1617414,"$30,000 to $39,999"
"26-1393735",2571911,"$30,000 to $39,999"
"26-1393753",137272,"$100,000 to $149,999"
"26-1393753",1961217,"$100,000 to $149,999"
"26-1393753",2156867,"$100,000 to $149,999"
"26-1393753",2217005,"$100,000 to $149,999"
"26-1393759",969537,"$150, 000 to $199, 999"
"26-1393759",1469101,"$150, 000 to $199, 999"
"26-1393759",2399620,"$150, 000 to $199, 999"
"26-1393964",471368,"$150,000 or more"
"26-1393964",2253435,"$150,000 or more"
"26-1394008",2617208,"$100,000 to $149,999"
"26-1394028",1932139,"$150, 000 to $199, 999"
"26-1394062",1238128,"$300, 000 to $499, 999"
"26-1394062",1734412,"$300, 000 to $499, 999"
"26-1394062",2181516,"$300, 000 to $499, 999"
"26-1394105",1530202,"$150, 000 to $199, 999"
"26-1394105",1802873,"$150, 000 to $199, 999"
"26-1394105",1940391,"$150, 000 to $199, 999"
"26-1394116",2263765,"$100,000 to $149,999"
"26-1394124",176730,"$100,000 to $149,999"
"26-1394124",628663,"$100,000 to $149,999"
"26-1394124",2167108,"$100,000 to $149,999"
"26-1394142",506124,"$200, 000 to $299, 999"
"26-1394167",1345662,"$150, 000 to $199, 999"
"26-1394270",251640,"$40,000 to $49,999"
"26-1394270",523517,"$40,000 to $49,999"
"26-1394311",1407285,"$200, 000 to $299, 999"
"26-1394380",413367,"$60,000 to $79,999"
"26-1394380",436503,"$60,000 to $79,999"
"26-1394380",2103169,"$60,000 to $79,999"
"26-1394433",660040,"$300, 000 to $499, 999"
"26-1394433",1517838,"$300, 000 to $499, 999"
"26-1394433",2080272,"$300, 000 to $499, 999"
"26-1394442",709355,"$200, 000 to $299, 999"
"26-1394442",1494580,"$200, 000 to $299, 999"
"26-1394442",1529615,"$200, 000 to $299, 999"
"26-1394442",2037964,"$200, 000 to $299, 999"
"26-1394569",1173877,"$150, 000 to $199, 999"
"26-1394569",1655926,"$150, 000 to $199, 999"
"26-1394586",352174,"$100,000 to $149,999"
"26-1394606",215704,"$200, 000 to $299, 999"
"26-1394689",2019101,"$150, 000 to $199, 999"
"26-1394784",1076415,"$150, 000 to $199, 999"
"26-1394784",1754431,"$150, 000 to $199, 999"
"26-1394784",2006819,"$150, 000 to $199, 999"
"26-1394784",2026940,"$150, 000 to $199, 999"
"26-1394857",236589,"$80,000 to $99,999"
"26-1394857",2560574,"$80,000 to $99,999"
"26-1394863",504302,"$150,000 or more"
"26-1394863",960880,"$150,000 or more"
"26-1394863",967620,"$150,000 or more"
"26-1394863",1905328,"$150,000 or more"
"26-1394863",2430977,"$150,000 or more"
"26-1394870",1913213,"$50,000 to $59,999"
"26-1394875",979231,"$100,000 to $149,999"
"26-1394875",1486741,"$100,000 to $149,999"
"26-1394875",2350711,"$100,000 to $149,999"
"26-1394913",1138779,"$80,000 to $99,999"
"26-1395117",573819,"$100,000 to $149,999"
"26-1395117",724569,"$100,000 to $149,999"
"26-1395117",2133616,"$100,000 to $149,999"
"26-1395187",382116,"$150,000 or more"
"26-1395187",1001858,"$150,000 or more"
"26-1395187",1852327,"$150,000 or more"
"26-1395187",2429013,"$150,000 or more"
"26-1395191",258004,"$150,000 or more"
"26-1395191",1107626,"$150,000 or more"
"26-1395191",2600583,"$150,000 or more"
"26-1395240",303928,"$500, 000 or more"
"26-1395240",2007251,"$500, 000 or more"
"26-1395240",2182101,"$500, 000 or more"
"26-1395240",2323329,"$500, 000 or more"
"26-1395252",1133944,"Less than $10,000"
"26-1395273",1924295,"$80,000 to $99,999"
"26-1395273",2256340,"$80,000 to $99,999"
"26-1395382",1119709,"$150,000 or more"
"26-1395382",1133780,"$150,000 or more"
"26-1395382",1242801,"$150,000 or more"
"26-1395382",1454973,"$150,000 or more"
"26-1395382",1750642,"$150,000 or more"
"26-1395413",637202,"$200, 000 to $299, 999"
"26-1395427",2066551,"$300, 000 to $499, 999"
"26-1395622",1180238,"$200, 000 to $299, 999"
"26-1395622",1200231,"$200, 000 to $299, 999"
"26-1395622",1317834,"$200, 000 to $299, 999"
"26-1395622",1869049,"$200, 000 to $299, 999"
"26-1395644",1396462,"$80,000 to $99,999"
"26-1395660",246433,"$150,000 or more"
"26-1395660",772561,"$150,000 or more"
"26-1395691",555311,"$150, 000 to $199, 999"
"26-1395792",1420300,"$20,000 to $29,999"
"26-1395792",1843382,"$20,000 to $29,999"
"26-1395798",180117,"$80,000 to $99,999"
"26-1395798",383755,"$80,000 to $99,999"
"26-1395798",2173619,"$80,000 to $99,999"
"26-1395820",2428930,"$80,000 to $99,999"
"26-1395900",690499,"$10,000 to $19,999"
"26-1395900",1372580,"$10,000 to $19,999"
"26-1395900",2065162,"$10,000 to $19,999"
"26-1395919",711601,"$40,000 to $49,999"
"26-1395919",1092568,"$40,000 to $49,999"
"26-1395919",2247205,"$40,000 to $49,999"
"26-1395958",1741070,"$100,000 to $149,999"
"26-1396000",2525423,"$150,000 or more"
"26-1396000",2627115,"$150,000 or more"
"26-1396046",321989,"$80,000 to $99,999"
"26-1396093",339723,"$10,000 to $19,999"
"26-1396168",1853001,"$150,000 or more"
"26-1396168",2470999,"$150,000 or more"
"26-1396176",903949,"$150, 000 to $199, 999"
"26-1396176",2194209,"$150, 000 to $199, 999"
"26-1396206",334937,"$60,000 to $79,999"
"26-1396206",620471,"$60,000 to $79,999"
"26-1396315",269168,"$80,000 to $99,999"
"26-1396315",280488,"$80,000 to $99,999"
"26-1396315",1845640,"$80,000 to $99,999"
"26-1396315",2344188,"$80,000 to $99,999"
"26-1396354",1331286,"$50,000 to $59,999"
"26-1396354",1736981,"$50,000 to $59,999"
"26-1396354",1943263,"$50,000 to $59,999"
"26-1396374",203021,"$150, 000 to $199, 999"
"26-1396556",1008410,"$30,000 to $39,999"
"26-1396611",2358452,"$100,000 to $149,999"
"26-1396630",1942096,"$150, 000 to $199, 999"
"26-1396630",2052206,"$150, 000 to $199, 999"
"26-1396654",202405,"$100,000 to $149,999"
"26-1396654",291952,"$100,000 to $149,999"
"26-1396654",934941,"$100,000 to $149,999"
"26-1396654",1720950,"$100,000 to $149,999"
"26-1396767",770650,"$100,000 to $149,999"
"26-1396767",1271047,"$100,000 to $149,999"
"26-1396767",2055270,"$100,000 to $149,999"
"26-1396767",2463077,"$100,000 to $149,999"
"26-1396981",1892067,"$100,000 to $149,999"
"26-1396981",1926551,"$100,000 to $149,999"
"26-1397105",378944,"$10,000 to $19,999"
"26-1397172",350194,"$60,000 to $79,999"
"26-1397172",2011193,"$60,000 to $79,999"
"26-1397338",62669,"$150, 000 to $199, 999"
"26-1397338",1341033,"$150, 000 to $199, 999"
"26-1397338",1538456,"$150, 000 to $199, 999"
"26-1397342",556690,"$100,000 to $149,999"
"26-1397342",1767272,"$100,000 to $149,999"
"26-1397371",253415,"$500, 000 or more"
"26-1397371",254887,"$500, 000 or more"
"26-1397371",270149,"$150, 000 to $199, 999"
"26-1397371",903369,"$500, 000 or more"
"26-1397371",1412021,"$150, 000 to $199, 999"
"26-1397371",1504526,"$150, 000 to $199, 999"
"26-1397371",1536638,"$150, 000 to $199, 999"
"26-1397371",1967861,"$500, 000 or more"
"26-1397371",2026869,"$500, 000 or more"
"26-1397425",802779,"$80,000 to $99,999"
"26-1397425",1132286,"$80,000 to $99,999"
"26-1397425",2225601,"$80,000 to $99,999"
"26-1397536",1206191,"$200, 000 to $299, 999"
"26-1397536",1339233,"$200, 000 to $299, 999"
"26-1397607",1223954,"$300, 000 to $499, 999"
"26-1397607",2353768,"$300, 000 to $499, 999"
"26-1397632",2598106,"$80,000 to $99,999"
"26-1397764",2456862,"$300, 000 to $499, 999"
"26-1397764",2541443,"$300, 000 to $499, 999"
"26-1397896",878642,"$30,000 to $39,999"
"26-1397904",663419,"$80,000 to $99,999"
"26-1397955",571211,"$150,000 or more"
"26-1397955",851469,"$150,000 or more"
"26-1397955",1707709,"$150,000 or more"
"26-1397983",202378,"$150, 000 to $199, 999"
"26-1398009",6100,"$200, 000 to $299, 999"
"26-1398009",277660,"$200, 000 to $299, 999"
"26-1398009",423698,"$200, 000 to $299, 999"
"26-1398009",2246161,"$200, 000 to $299, 999"
"26-1398009",2356260,"$200, 000 to $299, 999"
"26-1398030",2106237,"$40,000 to $49,999"
"26-1398067",2248749,"$10,000 to $19,999"
"26-1398112",810566,"$80,000 to $99,999"
"26-1398112",1632489,"$80,000 to $99,999"
"26-1398112",1896497,"$80,000 to $99,999"
"26-1398128",206203,"$100,000 to $149,999"
"26-1398128",617708,"$100,000 to $149,999"
"26-1398128",717722,"$100,000 to $149,999"
"26-1398128",2105279,"$100,000 to $149,999"
"26-1398243",526625,"$200, 000 to $299, 999"
"26-1398243",816794,"$200, 000 to $299, 999"
"26-1398347",219908,"$40,000 to $49,999"
"26-1398347",722175,"$40,000 to $49,999"
"26-1398371",1267537,"$100,000 to $149,999"
"26-1398460",187909,"$500, 000 or more"
"26-1398460",1260088,"$500, 000 or more"
"26-1398460",1543965,"$500, 000 or more"
"26-1398460",2205257,"$500, 000 or more"
"26-1398460",2254217,"$500, 000 or more"
"26-1398507",1569341,"$100,000 to $149,999"
"26-1398507",2042733,"$100,000 to $149,999"
"26-1398517",609726,"$100,000 to $149,999"
"26-1398621",574389,"$200, 000 to $299, 999"
"26-1398621",2110239,"$200, 000 to $299, 999"
"26-1398635",1070894,"$150,000 or more"
"26-1398635",1148677,"$150,000 or more"
"26-1398635",2420181,"$150,000 or more"
"26-1398635",2549703,"$150,000 or more"
"26-1398740",277154,"$150,000 or more"
"26-1398740",304931,"$150,000 or more"
"26-1398740",756266,"$150,000 or more"
"26-1398740",1387606,"$150,000 or more"
"26-1398834",918223,"$80,000 to $99,999"
"26-1398834",1423023,"$80,000 to $99,999"
"26-1398834",1942627,"$80,000 to $99,999"
"26-1398835",1253168,"$100,000 to $149,999"
"26-1398851",2478519,"$100,000 to $149,999"
"26-1398906",1441089,"$80,000 to $99,999"
"26-1399025",504158,"$100,000 to $149,999"
"26-1399025",802111,"$100,000 to $149,999"
"26-1399025",1344524,"$100,000 to $149,999"
"26-1399091",2239533,"$30,000 to $39,999"
"26-1399132",1576416,"$500, 000 or more"
"26-1399132",1916984,"$500, 000 or more"
"26-1399132",2621769,"$500, 000 or more"
"26-1399319",175886,"$500, 000 or more"
"26-1399319",956663,"$500, 000 or more"
"26-1399512",1904755,"$150,000 or more"
"26-1399512",2040514,"$150,000 or more"
"26-1399512",2192497,"$150,000 or more"
"26-1399643",1600845,"$150, 000 to $199, 999"
"26-1399643",2377386,"$150, 000 to $199, 999"
"26-1399654",1617492,"$100,000 to $149,999"
"26-1399677",1379328,"$100,000 to $149,999"
"26-1399747",518420,"$100,000 to $149,999"
"26-1399747",772092,"$100,000 to $149,999"
"26-1399764",802123,"$100,000 to $149,999"
"26-1399764",911307,"$100,000 to $149,999"
"26-1399764",2171196,"$100,000 to $149,999"
"26-1399764",2527675,"$100,000 to $149,999"
"26-1399909",1250062,"$60,000 to $79,999"
"26-1399913",1920405,"$80,000 to $99,999"
"26-1399936",979621,"$100,000 to $149,999"
"26-1399936",1176363,"$100,000 to $149,999"
"26-1399936",1411352,"$100,000 to $149,999"
"26-1399936",1419922,"$100,000 to $149,999"
"26-1399936",1455187,"$100,000 to $149,999"
"26-1399936",2236039,"$100,000 to $149,999"
"26-1401026",2071975,"$150,000 or more"
"26-1401026",2099944,"$150,000 or more"
"26-1401026",2546513,"$150,000 or more"
"26-1401084",796929,"$30,000 to $39,999"
"26-1401084",1480303,"$30,000 to $39,999"
"26-1401084",1713851,"$30,000 to $39,999"
"26-1401084",2045900,"$30,000 to $39,999"
"26-1401084",2345503,"$30,000 to $39,999"
"26-1401138",292703,"$100,000 to $149,999"
"26-1401231",217575,"$150,000 or more"
"26-1401231",463424,"$150,000 or more"
"26-1401231",648677,"$150,000 or more"
"26-1401231",1149383,"$150,000 or more"
"26-1401231",2185631,"$150,000 or more"
"26-1401231",2643658,"$150,000 or more"
"26-1401251",761060,"$100,000 to $149,999"
"26-1401251",1217456,"$100,000 to $149,999"
"26-1401251",2140109,"$100,000 to $149,999"
"26-1401282",125207,"$150,000 or more"
"26-1401282",469468,"$150,000 or more"
"26-1401282",1909175,"$150,000 or more"
"26-1401290",2178813,"$150, 000 to $199, 999"
"26-1401412",421618,"$150,000 or more"
"26-1401412",1901788,"$150,000 or more"
"26-1401412",1960346,"$150,000 or more"
"26-1401423",2372556,"$150, 000 to $199, 999"
"26-1401612",840717,"$100,000 to $149,999"
"26-1402014",100778,"$50,000 to $59,999"
"26-1402014",442992,"$50,000 to $59,999"
"26-1402014",2144280,"$50,000 to $59,999"
"26-1402120",12717,"$150, 000 to $199, 999"
"26-1402120",2059625,"$150, 000 to $199, 999"
"26-1402120",2608549,"$150, 000 to $199, 999"
"26-1402155",561379,"$80,000 to $99,999"
"26-1402155",1567585,"$80,000 to $99,999"
"26-1402155",2128392,"$80,000 to $99,999"
"26-1402216",368431,"$150,000 or more"
"26-1402216",1536202,"$150,000 or more"
"26-1402216",1592634,"$150,000 or more"
"26-1402216",1634541,"$150,000 or more"
"26-1402216",2185088,"$150,000 or more"
"26-1402339",1016393,"$300, 000 to $499, 999"
"26-1402422",1542358,"$80,000 to $99,999"
"26-1402516",700643,"$300, 000 to $499, 999"
"26-1402516",823622,"$300, 000 to $499, 999"
"26-1402569",686423,"$150, 000 to $199, 999"
"26-1402569",1713753,"$150, 000 to $199, 999"
"26-1402569",1996975,"$150, 000 to $199, 999"
"26-1402632",1264308,"$150, 000 to $199, 999"
"26-1402632",1264695,"$150, 000 to $199, 999"
